ontology,class,attribute,data_type,relation,object
UpperOntology,cx:Action,,,cx:isInvolvedIn,cx:Process
UpperOntology,cx:Action,,,cx:isInvolvedIn,cx:Action
DiagnosisOntology,cx:ActualCause,,,cx:hasCauseType,cx:CauseType
CommonOntology,cx:Assembly,,,cx:produces,cx:Product
ProductionOntology,cx:AssemblyEvent,cx:assemblyCompleted,xsd:boolean,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyCountry,xsd:string,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyDatetime,xsd:dateTime,,
ProductionOntology,cx:AssemblyEvent,cx:assemblyEventId,xsd:string,,
ProductionOntology,cx:AssemblyEvent,,,cx:isInvolvedIn,cx:AssemblyProcess
ProductionOntology,cx:AssemblyEvent,,,cx:isLocatedIn,cx:Plant
ProductionOntology,cx:AssemblyProcess,cx:assemblyProcessId,xsd:string,,
ProductionOntology,cx:AssemblyProcess,cx:assemblyProcessName,xsd:string,,
ProductionOntology,cx:AssemblyProcess,,,cx:isLocatedIn,cx:Plant
CommonOntology,cx:Asset,,,cx:isOwnedBy,cx:BusinessPartner
CommonOntology,cx:Asset,,,cx:isProvisionedBy,cx:BusinessPartner
PartOntology,cx:BatchPart,cx:batchNumber,xsd:string,,
PartOntology,cx:BatchPart,cx:batchProductionDate,xsd:date,,
PartOntology,cx:BatchPart,cx:batchProductionDateTime,xsd:dateTime,,
PartOntology,cx:BatchPart,,,cx:isAffectedIn,cx:IncidentReport
PartOntology,cx:BatchPart,,,cx:isItemOf,cx:Vehicle
PrognosisOntology,cx:BatteryHealthCondition,cx:batteryStateOfHealth,xsd:double,,
CommonOntology,cx:Bill,,,cx:hasBillingAddress,cx:BillingAddress
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialCurrency,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialId,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialName,xsd:string,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialPrice,xsd:decimal,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialQuantity,xsd:integer,,
BillOfMaterialOntology,cx:BillOfMaterial,cx:billOfMaterialUnit,xsd:string,,
MaterialOntology,cx:BuildingMaterial,,,cx:isPartOf,cx:Building
VehicleOntology,cx:BusDriver,,,cx:drives,cx:Bus
VehicleOntology,cx:BusDriver,,,cx:drives,cx:Coach
AddressOntology,cx:BusinessAddress,cx:companyName,xsd:string,,
ContactOntology,cx:BusinessContact,,,cx:hasBusinessAddress,cx:BusinessAddress
CommonOntology,cx:BusinessPartner,cx:businessPartnerNumber,xsd:string,,
CommonOntology,cx:BusinessPartner,cx:businessPartnerNumberType,xsd:string,,
CommonOntology,cx:BusinessPartner,,,cx:hasConnector,cx:EclipseDataspaceConnector
CommonOntology,cx:BusinessPartner,,,cx:hasRole,cx:Role
VehicleOntology,cx:Cargo,,,cx:isTransportedBy,cx:TransportVehicle
PersonOntology,cx:Child,,,cx:isChildOf,cx:Person
CountryOntology,cx:City,cx:cityName,xsd:string,,
CountryOntology,cx:City,,,cx:isLocatedIn,cx:Country
VehicleOntology,cx:CommercialVehicle,,,cx:isOwnedBy,cx:Organisation
CommonOntology,cx:Company,cx:companyName,xsd:string,,
CommonOntology,cx:Company,,,cx:isAffectedIn,cx:IncidentReport
CommonOntology,cx:Company,,,cx:receives,cx:IncidentReport
VehicleOntology,cx:CompanyVehicle,,,cx:isOwnedBy,cx:Organisation
CommonOntology,cx:Component,,,cx:hasBillOfMaterial,cx:BillOfMaterial
PartOntology,cx:ConstructionPart,cx:partCadFile,xsd:string,,
PartOntology,cx:ConstructionPart,cx:partNumber,xsd:string,,
PartOntology,cx:ConstructionPart,cx:partVersion,xsd:string,,
PartOntology,cx:ConstructionPart,,,cx:isItemOf,cx:EngineeringBillOfMaterial
CommonOntology,cx:Contact,cx:affiliation,xsd:string,,
ContactOntology,cx:Contact,cx:affiliation,xsd:string,,
CommonOntology,cx:Contact,cx:contactChannel,xsd:string,,
ContactOntology,cx:Contact,cx:contactChannel,xsd:string,,
CommonOntology,cx:Contact,cx:contactHours,xsd:string,,
ContactOntology,cx:Contact,cx:contactHours,xsd:string,,
CommonOntology,cx:Contact,cx:contactId,xsd:string,,
ContactOntology,cx:Contact,cx:contactId,xsd:string,,
CommonOntology,cx:Contact,cx:contactLanguage,xsd:string,,
ContactOntology,cx:Contact,cx:contactLanguage,xsd:string,,
CommonOntology,cx:Contact,cx:contactName,xsd:string,,
ContactOntology,cx:Contact,cx:contactName,xsd:string,,
CommonOntology,cx:Contact,cx:email,xsd:string,,
ContactOntology,cx:Contact,cx:email,xsd:string,,
CommonOntology,cx:Contact,cx:faxNumber,xsd:string,,
ContactOntology,cx:Contact,cx:faxNumber,xsd:string,,
CommonOntology,cx:Contact,cx:linkedIn,xsd:string,,
ContactOntology,cx:Contact,cx:linkedIn,xsd:string,,
CommonOntology,cx:Contact,cx:mobileNumber,xsd:string,,
ContactOntology,cx:Contact,cx:mobileNumber,xsd:string,,
CommonOntology,cx:Contact,cx:telephoneNumber,xsd:string,,
ContactOntology,cx:Contact,cx:telephoneNumber,xsd:string,,
CommonOntology,cx:Contact,cx:website,xsd:string,,
ContactOntology,cx:Contact,cx:website,xsd:string,,
CommonOntology,cx:Contact,cx:xing,xsd:string,,
ContactOntology,cx:Contact,cx:xing,xsd:string,,
CommonOntology,cx:Contact,,,cx:hasLocation,cx:Place
CommonOntology,cx:Contact,,,cx:hasStreetAddress,cx:StreetAddress
CommonOntology,cx:Contact,,,cx:isWrittenIn,cx:VCard
ContactOntology,cx:Contact,,,cx:hasLocation,cx:Place
ContactOntology,cx:Contact,,,cx:hasStreetAddress,cx:StreetAddress
ContactOntology,cx:Contact,,,cx:isWrittenIn,cx:VCard
CommonOntology,cx:Country,cx:countryCode2,xsd:string,,
CountryOntology,cx:Country,cx:countryCode2,xsd:string,,
CommonOntology,cx:Country,cx:countryCode3,xsd:string,,
CountryOntology,cx:Country,cx:countryCode3,xsd:string,,
CommonOntology,cx:Country,cx:countryName,xsd:string,,
CountryOntology,cx:Country,cx:countryName,xsd:string,,
CommonOntology,cx:Country,cx:countryNumber,xsd:integer,,
CountryOntology,cx:Country,cx:countryNumber,xsd:integer,,
CommonOntology,cx:Country,cx:wikidata,xsd:anyURI,,
CountryOntology,cx:Country,cx:wikidata,xsd:anyURI,,
CommonOntology,cx:Country,,,cx:hasCapitalCity,cx:CapitalCity
CommonOntology,cx:Country,,,cx:isLocatedIn,cx:Continent
CountryOntology,cx:Country,,,cx:hasCapitalCity,cx:CapitalCity
CountryOntology,cx:Country,,,cx:isLocatedIn,cx:Continent
CurrencyOntology,cx:Currency,cx:currencyCode,xsd:string,,
CurrencyOntology,cx:Currency,cx:currencyFractionalUnit,xsd:string,,
CurrencyOntology,cx:Currency,cx:currencyName,xsd:string,,
CurrencyOntology,cx:Currency,cx:currencyNumber,xsd:integer,,
CurrencyOntology,cx:Currency,cx:currencySymbol,xsd:string,,
CurrencyOntology,cx:Currency,,,cx:isUsedIn,cx:Country
CommonOntology,cx:Customer,,,cx:purchases,cx:Product
CommonOntology,cx:Customer,,,cx:purchasesFrom,cx:Seller
CommonOntology,cx:Delivery,,,cx:hasDeliveryAddress,cx:DeliveryAddress
CommonOntology,cx:Delivery,,,cx:hasPostOfficeBox,cx:PostOfficeBox
CommonOntology,cx:Delivery,,,cx:hasReturnAddress,cx:ReturnAddress
DiagnosisOntology,cx:DiagnosticTroubleCode,cx:diagnosticTroubleCodeId,xsd:string,,
DiagnosisOntology,cx:DiagnosticTroubleCode,cx:diagnosticTroubleCodeName,xsd:string,,
DiagnosisOntology,cx:DiagnosticTroubleCode,,,cx:hasEncoding,cx:Encoding
DiagnosisOntology,cx:DiagnosticTroubleCode,,,cx:hasPossibleCause,cx:PossibleCause
DiagnosisOntology,cx:DiagnosticTroubleCode,,,cx:isStoredIn,cx:ErrorMemory
VehicleOntology,cx:DieselVehicle,,,cx:hasPart,cx:DieselEngine
CommonOntology,cx:DinStandard,cx:dinName,xsd:string,,
CommonOntology,cx:DinStandard,cx:dinNumber,xsd:string,,
ProductionOntology,cx:DisassemblyEvent,cx:disassemblyDatetime,xsd:dateTime,,
ProductionOntology,cx:DisassemblyEvent,cx:disassemblyId,xsd:string,,
ProductionOntology,cx:DisassemblyEvent,,,cx:disassembledFrom,cx:Part
ProductionOntology,cx:DisassemblyEvent,,,cx:disassembledPart,cx:Part
CommonOntology,cx:Disposer,,,cx:disposes,cx:Product
VehicleOntology,cx:Driver,,,cx:drives,cx:Vehicle
CommonOntology,cx:EclipseDataspaceConnector,cx:eclipseDataspaceConnectorId,xsd:string,,
CommonOntology,cx:EclipseDataspaceConnector,cx:eclipseDataspaceConnectorUrl,xsd:string,,
VehicleOntology,cx:ElectricVehicle,,,cx:hasPart,cx:ElectricMotor
VehicleOntology,cx:ElectricVehicle,,,cx:hasPart,cx:HighVoltageBattery
PartOntology,cx:ElectronicPart,cx:hardwareVersion,xsd:string,,
PartOntology,cx:ElectronicPart,cx:partGeneration,xsd:string,,
PartOntology,cx:ElectronicPart,cx:softwareVersion,xsd:string,,
CommonOntology,cx:Employee,cx:employeeId,xsd:string,,
CommonOntology,cx:Employee,,,cx:worksFor,cx:Organisation
CommonOntology,cx:Encoding,cx:encodingExample,xsd:string,,
EncodingOntology,cx:Encoding,cx:encodingExample,xsd:string,,
CommonOntology,cx:Encoding,cx:encodingName,xsd:string,,
EncodingOntology,cx:Encoding,cx:encodingName,xsd:string,,
CommonOntology,cx:Encoding,cx:encodingRange,xsd:string,,
EncodingOntology,cx:Encoding,cx:encodingRange,xsd:string,,
CommonOntology,cx:Encoding,cx:encodingStandard,xsd:string,,
EncodingOntology,cx:Encoding,cx:encodingStandard,xsd:string,,
CommonOntology,cx:Encoding,cx:numberOfDigits,xsd:integer,,
EncodingOntology,cx:Encoding,cx:numberOfDigits,xsd:integer,,
CommonOntology,cx:Encoding,cx:numberOfTokens,xsd:integer,,
EncodingOntology,cx:Encoding,cx:numberOfTokens,xsd:integer,,
CommonOntology,cx:Encoding,,,cx:isEncodedBy,cx:Token
EncodingOntology,cx:Encoding,,,cx:isEncodedBy,cx:Token
PrognosisOntology,cx:EngineHealthCondition,cx:engineStateOfHealth,xsd:double,,
MaterialOntology,cx:EngineeringMaterial,cx:engineeringMaterialName,xsd:string,,
MaterialOntology,cx:EngineeringMaterial,cx:engineeringMaterialNumber,xsd:string,,
MaterialOntology,cx:EngineeringMaterial,,,cx:contains,cx:RawMaterial
MaterialOntology,cx:EngineeringMaterial,,,cx:isMadeOf,cx:RawMaterial
MaterialOntology,cx:EngineeringMaterial,,,cx:isPartOf,cx:Product
MaterialOntology,cx:EngineeringMaterial,,,cx:participatesIn,cx:Process
ErrorOntology,cx:Error,cx:errorClass,xsd:string,,
ErrorOntology,cx:Error,cx:errorDescription,xsd:string,,
ErrorOntology,cx:Error,cx:errorEndDate,xsd:date,,
ErrorOntology,cx:Error,cx:errorId,xsd:string,,
ErrorOntology,cx:Error,cx:errorName,xsd:string,,
ErrorOntology,cx:Error,cx:errorStartDate,xsd:date,,
ErrorOntology,cx:Error,,,cx:hasEffect,cx:ErrorEffect
ErrorOntology,cx:Error,,,cx:hasSolution,cx:ErrorSolution
ErrorOntology,cx:Error,,,cx:isCausedBy,cx:ErrorCause
ErrorOntology,cx:Error,,,cx:isDefinedBy,cx:BusinessPartner
ErrorOntology,cx:Error,,,cx:isLocatedIn,cx:ErrorPosition
ErrorOntology,cx:Error,,,cx:isLocatedIn,cx:ErrorLocation
ErrorOntology,cx:Error,,,cx:isTypedBy,cx:ErrorType
ErrorOntology,cx:ErrorCondition,,,cx:isConditionedBy,cx:Error
ErrorOntology,cx:ErrorDetection,,,cx:detects,cx:Error
CommonOntology,cx:EuropeanNorm,cx:enName,xsd:string,,
CommonOntology,cx:EuropeanNorm,cx:enNumber,xsd:string,,
UpperOntology,cx:Event,cx:actionId,xsd:string,,
UpperOntology,cx:Event,cx:actionName,xsd:string,,
UpperOntology,cx:Event,cx:eventDate,xsd:date,,
UpperOntology,cx:Event,cx:eventDuration,xsd:integer,,
UpperOntology,cx:Event,cx:eventId,xsd:string,,
UpperOntology,cx:Event,cx:eventLocation,xsd:string,,
UpperOntology,cx:Event,cx:eventName,xsd:string,,
UpperOntology,cx:Event,cx:eventType,xsd:string,,
CurrencyOntology,cx:ExchangeRate,cx:exchangeRateDatetime,xsd:dateTime,,
CurrencyOntology,cx:ExchangeRate,cx:exchangeRateProvider,xsd:string,,
CurrencyOntology,cx:ExchangeRate,cx:exchangeRateValue,xsd:decimal,,
CurrencyOntology,cx:ExchangeRate,,,cx:exchangeRateFromCurrency,cx:Currency
CurrencyOntology,cx:ExchangeRate,,,cx:exchangeRateToCurrency,cx:Currency
ErrorOntology,cx:Failure,,,cx:isCausedBy,cx:Error
CommonOntology,cx:FinalCustomer,cx:finalCustomerId,xsd:string,,
CommonOntology,cx:FinalCustomer,,,cx:purchases,cx:FinalProduct
CommonOntology,cx:FinalProduct,,,cx:hasBillOfMaterial,cx:BillOfMaterial
EncodingOntology,cx:FixedLengthToken,cx:tokenLength,xsd:integer,,
VehicleOntology,cx:FleetVehicle,,,cx:isPartOf,cx:Fleet
IncidentOntology,cx:Incident,cx:incidentCause,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentDamage,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentDateTime,xsd:dateTime,,
IncidentOntology,cx:Incident,cx:incidentDescription,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentDuration,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentHazard,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentImpact,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentInjury,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentLocation,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentPrevention,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentRisk,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentSeverity,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentTitle,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentType,xsd:string,,
IncidentOntology,cx:Incident,cx:incidentUrgency,xsd:string,,
IncidentOntology,cx:Incident,,,cx:affects,cx:IncidentAffectedPerson
IncidentOntology,cx:Incident,,,cx:affects,cx:IncidentAffectedCompany
IncidentOntology,cx:Incident,,,cx:isCausedBy,cx:IncidentCausingPerson
IncidentOntology,cx:Incident,,,cx:isCausedBy,cx:IncidentCausingCompany
IncidentOntology,cx:Incident,,,cx:isLocatedIn,cx:Place
IncidentOntology,cx:Incident,,,cx:isLocatedIn,cx:StreetAddress
IncidentOntology,cx:Incident,,,cx:isRecordedBy,cx:IncidentReport
IncidentOntology,cx:Incident,,,cx:isWitnessedBy,cx:IncidentWitness
IncidentOntology,cx:IncidentAffectedCompany,,,cx:hasContact,cx:BusinessContact
IncidentOntology,cx:IncidentAffectedCompany,,,cx:isAffectedBy,cx:Incident
IncidentOntology,cx:IncidentAffectedCompany,,,cx:isLocatedIn,cx:BusinessAddress
IncidentOntology,cx:IncidentAffectedPerson,,,cx:isAffectedBy,cx:Incident
IncidentOntology,cx:IncidentCausingCompany,,,cx:causes,cx:Incident
IncidentOntology,cx:IncidentCausingCompany,,,cx:hasContact,cx:BusinessContact
IncidentOntology,cx:IncidentCausingCompany,,,cx:isLocatedIn,cx:BusinessAddress
IncidentOntology,cx:IncidentCausingPerson,,,cx:causes,cx:Incident
IncidentOntology,cx:IncidentReport,cx:incidentReportAnonymousFlag,xsd:boolean,,
IncidentOntology,cx:IncidentReport,cx:incidentReportDateTime,xsd:dateTime,,
IncidentOntology,cx:IncidentReport,cx:incidentReportEvidenceAttachment,xsd:anyURI,,
IncidentOntology,cx:IncidentReport,cx:incidentReportId,xsd:string,,
IncidentOntology,cx:IncidentReport,cx:incidentReportStatus,xsd:string,,
IncidentOntology,cx:IncidentReport,cx:notifiedAuthority,xsd:string,,
IncidentOntology,cx:IncidentReport,,,cx:isCreatedBy,cx:IncidentReporter
IncidentOntology,cx:IncidentReport,,,cx:isReceivedBy,cx:Company
IncidentOntology,cx:IncidentReport,,,cx:isReceivedBy,cx:Organisation
IncidentOntology,cx:IncidentReportReception,cx:incidentReportReceptionDateTime,xsd:string,,
IncidentOntology,cx:IncidentReporter,cx:incidentReporterCompany,xsd:string,,
IncidentOntology,cx:IncidentReporter,cx:incidentReporterId,xsd:string,,
IncidentOntology,cx:IncidentReporter,cx:incidentReporterName,xsd:string,,
IncidentOntology,cx:IncidentReporter,cx:incidentReporterSignature,xsd:string,,
IncidentOntology,cx:IncidentReporter,,,cx:hasContact,cx:Contact
IncidentOntology,cx:IncidentReporter,,,cx:isLocatedIn,cx:StreetAddress
IncidentOntology,cx:IncidentWitness,,,cx:witnessed,cx:Incident
VehicleOntology,cx:InternalCombustionEngineVehicle,,,cx:hasPart,cx:Engine
CommonOntology,cx:IsoStandard,cx:isoName,xsd:string,,
CommonOntology,cx:IsoStandard,cx:isoNumber,xsd:string,,
CommonOntology,cx:Language,cx:languageCode2,xsd:string,,
LanguageOntology,cx:Language,cx:languageCode2,xsd:string,,
CommonOntology,cx:Language,cx:languageCode3,xsd:anyURI,,
LanguageOntology,cx:Language,cx:languageCode3,xsd:anyURI,,
CommonOntology,cx:Language,cx:languageName,xsd:string,,
LanguageOntology,cx:Language,cx:languageName,xsd:string,,
CommonOntology,cx:Language,,,cx:isUnderstoodBy,cx:Person
LanguageOntology,cx:Language,,,cx:isUnderstoodBy,cx:Person
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumDescription,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumEndDatetime,xsd:dateTime,,
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumId,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumName,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumStartDatetime,xsd:dateTime,,
LoadSpectrumOntology,cx:LoadSpectrum,cx:loadSpectrumType,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrum,,,cx:hasLoadSpectrumChannel,cx:LoadSpectrumChannel
LoadSpectrumOntology,cx:LoadSpectrum,,,cx:hasLoadSpectrumValues,cx:LoadSpectrumValues
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelLowerLimit,xsd:float,,
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelName,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelNumberOfBins,xsd:integer,,
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelType,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelUnit,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumChannel,cx:loadSpectrumChannelUpperLimit,xsd:float,,
LoadSpectrumOntology,cx:LoadSpectrumValues,cx:loadSpectrumChannelIndex,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumValues,cx:loadSpectrumChannelValues,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumValues,cx:loadSpectrumCountingMethod,xsd:string,,
LoadSpectrumOntology,cx:LoadSpectrumValues,cx:loadSpectrumCountingUnit,xsd:string,,
CommonOntology,cx:Logistics,,,cx:transport,cx:Material
CommonOntology,cx:Mail,,,cx:hasPostOfficeBox,cx:PostOfficeBox
CommonOntology,cx:Mail,,,cx:hasPostalAddress,cx:PostalAddress
CommonOntology,cx:Mail,,,cx:hasReturnAddress,cx:ReturnAddress
CommonOntology,cx:Manufacturer,cx:manufacturerId,xsd:string,,
CommonOntology,cx:Manufacturer,cx:manufacturerName,xsd:string,,
CommonOntology,cx:Manufacturer,,,cx:isSuppliedBy,cx:PartSupplier
CommonOntology,cx:Manufacturer,,,cx:isSuppliedBy,cx:Supplier
CommonOntology,cx:Manufacturer,,,cx:produces,cx:Product
CommonOntology,cx:Manufacturing,,,cx:produces,cx:Product
BillOfMaterialOntology,cx:ManufacturingBillOfMaterial,cx:productionEndDatetime,xsd:dateTime,,
BillOfMaterialOntology,cx:ManufacturingBillOfMaterial,cx:productionStartDatetime,xsd:dateTime,,
BillOfMaterialOntology,cx:ManufacturingBillOfMaterial,,,cx:hasAssemblyEvent,cx:AssemblyEvent
MaterialOntology,cx:Material,cx:materialId,xsd:string,,
MaterialOntology,cx:Material,cx:materialName,xsd:string,,
MaterialOntology,cx:Material,,,cx:hasMaterialProperty,cx:MaterialProperty
MaterialOntology,cx:Material,,,cx:isItemOf,cx:BillOfMaterial
MaterialOntology,cx:Material,,,cx:isStoredIn,cx:MaterialStorage
MaterialOntology,cx:MaterialInformation,cx:informationSource,xsd:string,,
MaterialOntology,cx:MaterialManufacturer,,,cx:produces,cx:Material
MaterialOntology,cx:MaterialSupplier,,,cx:supplies,cx:Material
UpperOntology,cx:MaterialThing,,,cx:hasPortion,cx:MaterialThing
UpperOntology,cx:MaterialThing,,,cx:isPortionOf,cx:MaterialThing
IncidentOntology,cx:MedicalTreatment,cx:medicalTreatmentDescription,xsd:string,,
IncidentOntology,cx:MedicalTreatment,cx:medicalTreatmentName,xsd:string,,
IncidentOntology,cx:MedicalTreatment,,,cx:isProvidedFor,cx:Incident
CommonOntology,cx:Offer,,,cx:isOfferedBy,cx:Organisation
CommonOntology,cx:Offer,,,cx:isOfferedBy,cx:Person
BillOfMaterialOntology,cx:OrderBillOfMaterial,,,cx:hasAssemblyProcess,cx:AssemblyProcess
BillOfMaterialOntology,cx:OrderBillOfMaterial,,,cx:hasOrder,cx:Order
UpperOntology,cx:Organisation,,,cx:hasAddress,cx:Address
UpperOntology,cx:Organisation,,,cx:hasBusinessAddress,cx:BusinessAddress
UpperOntology,cx:Organisation,,,cx:hasContact,cx:Contact
UpperOntology,cx:Organisation,,,cx:isMemberOf,cx:Consortium
UpperOntology,cx:Organisation,,,cx:makesOffer,cx:Offer
UpperOntology,cx:Organisation,,,cx:receives,cx:IncidentReport
VehicleOntology,cx:Owner,,,cx:owns,cx:Vehicle
PersonOntology,cx:Parent,,,cx:isParentOf,cx:Person
PartOntology,cx:Part,cx:partId,xsd:string,,
PartOntology,cx:Part,cx:partName,xsd:string,,
PartOntology,cx:Part,cx:partProductionDate,xsd:date,,
PartOntology,cx:Part,cx:partProductionDateTime,xsd:dateTime,,
PartOntology,cx:Part,cx:partSeries,xsd:string,,
PartOntology,cx:Part,,,cx:hasBillOfMaterial,cx:BillOfMaterial
PartOntology,cx:Part,,,cx:hasError,cx:VehicleError
PartOntology,cx:Part,,,cx:hasLoadSpectrum,cx:LoadSpectrum
PartOntology,cx:Part,,,cx:isAffectedIn,cx:IncidentReport
PartOntology,cx:Part,,,cx:isChildOf,cx:Part
PartOntology,cx:Part,,,cx:isItemOf,cx:BillOfMaterial
PartOntology,cx:Part,,,cx:isParentOf,cx:Part
PartOntology,cx:Part,,,cx:isPartOf,cx:Vehicle
PartOntology,cx:Part,,,cx:isPartOf,cx:Part
PartOntology,cx:Part,,,cx:isProducedBy,cx:PartManufacturer
PartOntology,cx:Part,,,cx:isReasonOf,cx:PossibleCause
PartOntology,cx:PartManufacturer,,,cx:produces,cx:Part
PartOntology,cx:PartSupplier,,,cx:supplies,cx:Part
VehicleOntology,cx:Passenger,,,cx:isTransportedBy,cx:Vehicle
VehicleOntology,cx:PassengerVehicle,,,cx:transports,cx:Passenger
PersonOntology,cx:Person,cx:firstName,xsd:string,,
UpperOntology,cx:Person,cx:firstName,xsd:string,,
PersonOntology,cx:Person,cx:fullName,xsd:string,,
UpperOntology,cx:Person,cx:fullName,xsd:string,,
PersonOntology,cx:Person,cx:lastName,xsd:string,,
UpperOntology,cx:Person,cx:lastName,xsd:string,,
PersonOntology,cx:Person,cx:maidenName,xsd:string,,
UpperOntology,cx:Person,cx:maidenName,xsd:string,,
PersonOntology,cx:Person,cx:middleName,xsd:string,,
UpperOntology,cx:Person,cx:middleName,xsd:string,,
PersonOntology,cx:Person,cx:personId,xsd:string,,
UpperOntology,cx:Person,cx:personId,xsd:string,,
PersonOntology,cx:Person,,,cx:hasAddress,cx:Address
PersonOntology,cx:Person,,,cx:hasBusinessAddress,cx:BusinessAddress
PersonOntology,cx:Person,,,cx:hasContact,cx:Contact
PersonOntology,cx:Person,,,cx:hasPrivateAddress,cx:PrivateAddress
PersonOntology,cx:Person,,,cx:isCitizenOf,cx:Country
PersonOntology,cx:Person,,,cx:isMemberOf,cx:Project
PersonOntology,cx:Person,,,cx:knows,cx:Person
PersonOntology,cx:Person,,,cx:makesOffer,cx:Offer
PersonOntology,cx:Person,,,cx:speaks,cx:Language
PersonOntology,cx:Person,,,cx:understands,cx:Language
UpperOntology,cx:Person,,,cx:hasAddress,cx:Address
UpperOntology,cx:Person,,,cx:hasBusinessAddress,cx:BusinessAddress
UpperOntology,cx:Person,,,cx:hasContact,cx:Contact
UpperOntology,cx:Person,,,cx:hasPrivateAddress,cx:PrivateAddress
UpperOntology,cx:Person,,,cx:isCitizenOf,cx:Country
UpperOntology,cx:Person,,,cx:isMemberOf,cx:Project
UpperOntology,cx:Person,,,cx:knows,cx:Person
UpperOntology,cx:Person,,,cx:makesOffer,cx:Offer
UpperOntology,cx:Person,,,cx:speaks,cx:Language
UpperOntology,cx:Person,,,cx:understands,cx:Language
PersonOntology,cx:PersonalInformation,cx:academicTitle,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:age,xsd:integer,,
PersonOntology,cx:PersonalInformation,cx:birthDate,xsd:date,,
PersonOntology,cx:PersonalInformation,cx:birthPlace,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:deathDate,xsd:date,,
PersonOntology,cx:PersonalInformation,cx:deathPlace,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:gender,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:jobTitle,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:nickname,xsd:string,,
PersonOntology,cx:PersonalInformation,cx:personalTitle,xsd:string,,
VehicleOntology,cx:PetrolVehicle,,,cx:hasPart,cx:PetrolEngine
UpperOntology,cx:Place,cx:latitude,xsd:float,,
UpperOntology,cx:Place,cx:longitude,xsd:float,,
UpperOntology,cx:Place,,,cx:hasAddress,cx:Address
